,Cluster.ID,Parent,TaxIDs,GIs,Genera,L.min,L.max,MAD,Defline.of.longest.sequence
21,21,169703,104,275,57,340,1434,0.6469151769,"Dypsis lastelliana ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
42,42,169697,103,229,18,267,800,0.5247652838,"Astrocaryum murumuru isolate PL108 WRKY transcription factor 12 (WRKY12) gene, partial cds"
50,50,169697,103,174,19,332,994,0.742720692,"Reinhardtia latisecta isolate PL120 WRKY transcription factor 6 (WRKY6) gene, intron"
61,61,169697,100,158,18,406,791,0.6155083295,"Desmoncus polyacanthos isolate PL90 WRKY transcription factor 16 (WRKY16) gene, intron"
66,66,169700,100,151,21,331,819,0.9054168789,"Pritchardia schattaueri voucher Fairchild Tropical Garden DNA Bank 839 malate synthase gene, partial cds"
63,63,169697,99,156,18,265,483,0.7296676753,"Bactris brongniartii voucher FTG:Noblick 4935 WRKY transcription factor 19 (WRKY19) gene, intron 1 and partial cds"
79,79,169700,92,113,43,262,418,0.8474192319,"Livistona woodfordii chloroplast DNA, trnL-trnF intergenic spacer region"
12,12,169698,88,435,14,279,946,0.4775728415,"Calamus platyacanthus var. longicarpus voucher KUN:Yanghq0007 PsbA (psbA) gene, partial cds; and psbA-trnH intergenic spacer, partial sequence; chloroplast"
69,69,417012,88,139,13,331,819,0.9251324215,"Pritchardia schattaueri voucher Fairchild Tropical Garden DNA Bank 839 malate synthase gene, partial cds"
93,93,4710,86,98,74,419,1497,0.9484956307,"Allagoptera arenaria ATP synthase beta subunit (atpB) gene, complete cds; chloroplast gene for chloroplast product"
13,13,4710,80,416,37,256,1203,0.3198953737,Phoenix theophrasti voucher JCP 215; chloroplast
74,74,169698,77,118,21,510,1485,0.575432289,"Metroxylon vitiense ribulose biphosphate carboxylase (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
98,98,169706,76,94,6,623,803,0.9737553324,"Geonoma pohliana subsp. weddelliana voucher NY:Mullins 1 serine/threonine protein kinase (CISP4) gene, partial sequence"
126,126,4710,76,77,28,494,642,0.9473237043,"Astrocaryum murumuru voucher A. Perez 718 (CAY) 30S ribosomal protein S15 (rps15) and ycf1 protein (ycf1) genes, partial cds; chloroplast"
90,90,169706,75,98,6,332,841,0.5289378534,"Geonoma jussieuana voucher Roncal 303 (AAU) RNA polymerase II second largest subunit (RPB2) gene, intron 23 and partial cds"
104,104,4710,75,89,29,315,1025,0.9413647575,"Wettinia disticha voucher COL:R.Bernal 4774 NADH dehydrogenase subunit 1 (ndhA) gene, partial cds; chloroplast"
53,53,169700,73,172,43,403,856,0.6152059335,"Sabal bermudana genomic DNA containing partial trnL gene, trnL-trnF IGS, specimen voucher 1982-5602 (K)"
58,58,169703,72,164,48,406,874,0.651776246,"Calyptrocalyx albertisianus genomic DNA containing partial trnL gene, trnL-trnF IGS, specimen voucher Baker 1109 (K)"
94,94,169706,71,97,6,381,658,0.9225237364,"Pholidostachys dactyloides voucher Borchsenius 278 (AAU) phosphoribulokinase protein 2 (PRK) gene, exons 4, 5 and partial cds"
92,92,169745,70,98,5,453,896,0.7527560131,"Wendlandiella gracilis RPB2 gene, intron 23"
95,95,169745,69,96,5,318,649,0.9496982537,"Chamaedorea crucensis phosphoribulokinase-like protein (PRK) gene, exons 4, 5 and partial cds"
100,100,169703,69,92,47,807,899,0.9296077768,"Veitchia arecina chloroplast partial rps16 gene for ribosomal protein S16, exon 2"
84,84,169752,68,103,6,431,922,0.8705115515,"Livistona speciosa chloroplast trnD gene, partial sequence; trnY and trnE genes, complete sequence; and trnE-trnT intergenic spacer region, partial sequence"
139,139,4710,68,72,61,252,1766,0.953881968,"Calyptrocalyx stenocrista 18S small subunit ribosomal RNA gene, partial sequence"
109,109,169752,67,87,6,646,948,0.9444929434,"Licuala grandis voucher FTG Live Collection 6329D (DNA Bank 188) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
83,83,169733,66,103,13,510,1485,0.5386159328,"Metroxylon vitiense ribulose biphosphate carboxylase (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
145,145,169703,66,67,26,368,517,0.8600710182,"Drymophloeus litigiosus voucher K:Barrow et al 125 MADS box transcription factor (AG1) gene, partial cds"
62,62,169733,65,156,6,279,946,0.6017103052,"Calamus platyacanthus var. longicarpus voucher KUN:Yanghq0007 PsbA (psbA) gene, partial cds; and psbA-trnH intergenic spacer, partial sequence; chloroplast"
151,151,4710,65,65,22,261,315,0.9688400488,"Ptychosperma salomonense voucher K:Gardiner 293 beta-carotene hydroxylase gene, partial cds"
129,129,169700,64,74,42,721,988,0.8546339862,"Trachycarpus fortunei chloroplast partial rps16 gene for ribosomal protein S16, exon 2"
152,152,169703,64,64,21,261,315,0.9684027778,"Ptychosperma salomonense voucher K:Gardiner 293 beta-carotene hydroxylase gene, partial cds"
54,54,417013,63,172,8,765,1637,0.8710275461,"Copernicia prunifera chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher C. E. Lewis 03-012 (FTG)"
85,85,169726,63,102,5,955,1127,0.9563042608,"Bactris acanthocarpa trnQ-rps16 intergenic spacer, partial sequence; chloroplast"
112,112,169752,63,84,6,677,1622,0.8883212965,"Licuala kunstleri chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher 1985-1497 (K)"
70,70,417013,62,138,8,346,881,0.6285183175,"Saribus rotundifolius voucher FTG DNA Bank 1663 tRNA-Asp (tnrD), tRNA-Tyr (trnY), and tRNA-Glu (trnE) genes and trnE-trnT intergenic spacer, complete sequence; chloroplast"
86,86,169698,62,100,16,564,1627,0.5279348494,"Plectocomia mulleri chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Baker 563 (K)"
124,124,169752,61,78,6,453,654,0.8903983376,"Livistoninae sp. CDB-2011 voucher A.J. Henderson 3695, Vietnam (NY) CISP5 gene, partial sequence"
128,128,169705,61,75,15,719,1073,0.8746070208,"Astrocaryum urostachys isolate JCP363 phytochrome B (PHYB) gene, exon 1 and partial cds"
47,47,169703,60,183,3,254,290,0.9099491238,"Pinanga coronata gene for ITS1, 5.8S rRNA, ITS2, complete sequence, specimen_voucher: XIIBIX166a, clone: 1"
48,48,169709,60,183,3,254,290,0.9099491238,"Pinanga coronata gene for ITS1, 5.8S rRNA, ITS2, complete sequence, specimen_voucher: XIIBIX166a, clone: 1"
64,64,417013,60,154,8,573,865,0.8648149538,"Pritchardia flynnii voucher National Tropical Garden Live Collection 070279 serine/threonine protein kinase (CISP4) gene, partial sequence"
73,73,417013,60,121,8,780,956,0.9303226253,"Pritchardia viscosa voucher N. Tangalin 1692 (PTBG) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
150,150,169703,60,65,46,286,398,0.826594511,"Carpentaria acuminata chloroplast DNA, trnL-trnF intergenic spacer region"
72,72,417013,59,122,8,479,803,0.8986280955,"Livistona papuana partial rpb2 gene, intron 23, specimen voucher Baker 851 (K)"
81,81,417013,59,109,7,386,708,0.8780257088,"Pritchardia glabrata voucher Fairchild Tropical Garden DNA Bank 824 CISP5 gene, partial sequence"
122,122,77338,59,80,1,641,777,0.8531048906,"Chamaedorea microspadix RPB2 gene, intron 23"
68,68,169736,58,140,2,279,946,0.6018649955,"Calamus platyacanthus var. longicarpus voucher KUN:Yanghq0007 PsbA (psbA) gene, partial cds; and psbA-trnH intergenic spacer, partial sequence; chloroplast"
118,118,77338,58,81,1,411,649,0.9627156689,"Chamaedorea crucensis phosphoribulokinase-like protein (PRK) gene, exons 4, 5 and partial cds"
132,132,351477,58,73,10,357,663,0.8217938387,"Gulubia cylindrocarpa phosphoribulokinase-like protein 2 (PRK) gene, exons 4, 5 and partial cds"
39,39,169752,56,234,6,406,875,0.9286007326,"Johannesteijsmannia magnifica isolate 1.1 RNA polymerase II second largest subunit (RPB2) gene, intron 23"
75,75,169700,56,118,10,423,775,0.8740732641,"Arenga retroflorescens voucher SAN 149921 psbA-trnH intergenic spacer, partial sequence; chloroplast"
76,76,169726,56,117,5,407,1207,0.5588058264,"Bactris campestris phosphoribulokinase-like protein 2 gene, exons 4, 5 and partial cds"
111,111,169752,56,85,6,700,814,0.9359589536,"Livistoninae sp. CDB-2011 voucher A.J. Henderson 3672, Vietnam (NY) malate synthase gene, partial cds"
135,135,93328,56,73,1,656,803,0.9749910439,"Geonoma pohliana subsp. weddelliana voucher NY:Mullins 1 serine/threonine protein kinase (CISP4) gene, partial sequence"
147,147,169726,56,66,5,454,957,0.757702416,"Desmoncus cirrhifer RNA polymerase II second largest subunit (rpb2) gene, intron 23, exon 23 and partial cds"
168,168,169703,56,56,23,494,614,0.9813285249,"Drymophloeus litigiosus voucher K:Barrow et al 125 30S ribosomal protein S15 (rps15) and ycf1 protein (ycf1) genes, partial cds; chloroplast"
134,134,93328,55,73,1,332,841,0.5334647272,"Geonoma jussieuana voucher Roncal 303 (AAU) RNA polymerase II second largest subunit (RPB2) gene, intron 23 and partial cds"
169,169,169703,55,55,21,982,1013,0.9831463699,"Cyphosperma balansae voucher P:Pintaud 491 NADH dehydrogenase subunit 1 (ndhA) gene, partial cds; chloroplast"
101,101,169733,54,91,9,564,1627,0.4992334034,"Plectocomia mulleri chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Baker 563 (K)"
103,103,169736,54,89,5,510,1421,0.5152962386,Calamus hollrungii chloroplast partial rbcL gene for RuBisCO large subunit
131,131,169752,54,73,6,375,851,0.8025369026,"Pholidocarpus majadum voucher Dowe s.n. serine/threonine protein kinase (CISP4) gene, partial sequence"
133,133,351477,54,73,10,615,886,0.8893286744,"Heterospathe longipes intron 23 (rpb2 gene), specimen voucher Zona 1039"
71,71,4711,53,129,1,279,946,0.6087237983,"Calamus platyacanthus var. longicarpus voucher KUN:Yanghq0007 PsbA (psbA) gene, partial cds; and psbA-trnH intergenic spacer, partial sequence; chloroplast"
59,59,252729,52,164,1,254,290,0.9110176619,"Pinanga coronata gene for ITS1, 5.8S rRNA, ITS2, complete sequence, specimen_voucher: XIIBIX166a, clone: 1"
77,77,169698,52,114,7,665,835,0.8177119445,"Raphia hookeri RNA polymerase II second largest subunit gene, partial cds; and intron 23"
137,137,93328,52,72,1,567,654,0.9345480802,"Geonoma arundinacea voucher Roncal 137 (FTG) phosphoribulokinase protein 2 (PRK) gene, exons 4, 5 and partial cds"
138,138,169726,52,72,5,322,408,0.9332107843,"Acrocomia aculeata trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
105,105,4710,50,89,21,289,439,0.8762765222,"Hyphaene coriacea voucher OM755 psbK-psbI intergenic spacer, partial sequence"
144,144,169726,50,68,5,253,305,0.8978784957,"Bactris rhaphidacantha voucher Perez 878 trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
80,80,169733,49,111,5,665,826,0.8237571712,"Calamus aruensis partial rpb2 gene, intron 23, specimen voucher Dransfield 7571 (K)"
125,125,169726,49,78,5,596,1625,0.7583037475,"Acrocomia aculeata chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Baker 1000 (FTG)"
114,114,169736,48,83,4,564,1614,0.4733954405,"Calamus aruensis chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Dransfield JD 7571 (K)"
140,140,4710,48,72,14,562,607,0.9633900787,"Ceroxylon echinulatum voucher F. Borchsenius 647 (AAU) rps3-rpl16 intergenic spacer, complete sequence; and 30S ribosomal protein S3 (rps3) gene, partial cds; chloroplast"
142,142,169722,48,68,12,340,661,0.8265328824,"Normanbya normanbyi phosphoribulokinase (PRK) gene, partial cds"
167,167,169703,47,56,30,960,1144,0.9371097652,"Howea belmoreana trnQ-rps16 intergenic spacer region, chloroplast sequence"
87,87,169736,45,99,2,665,826,0.8240149681,"Calamus aruensis partial rpb2 gene, intron 23, specimen voucher Dransfield 7571 (K)"
119,119,4711,45,80,1,510,695,0.9481834532,"Calamus guruba var. elipsoideus voucher KUN:Yanghq0001 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast"
120,120,4711,45,80,1,564,1614,0.4711586121,"Calamus aruensis chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Dransfield JD 7571 (K)"
154,154,169745,45,64,5,549,1622,0.7900836159,"Synechanthus warscewiczianus chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Knudsen & Asmussen 640 (AAU)"
184,184,4710,45,50,26,664,872,0.8735550459,"Chuniophoenix hainanensis chloroplast atpB-rbcL intergenic spacer, specimen voucher Zona 791 (FTG)"
195,195,169722,45,45,12,982,1002,0.9924595254,"Ptychosperma salomonense voucher K:Gardiner 293 NADH dehydrogenase subunit 1 (ndhA) gene, partial cds; chloroplast"
196,196,169722,45,45,12,313,315,0.9968959436,"Ptychosperma salomonense voucher K:Gardiner 293 beta-carotene hydroxylase gene, partial cds"
201,201,169722,44,44,12,494,614,0.9800118448,"Drymophloeus litigiosus voucher K:Barrow et al 125 30S ribosomal protein S15 (rps15) and ycf1 protein (ycf1) genes, partial cds; chloroplast"
91,91,169726,43,98,5,408,848,0.5657489411,"Astrocaryum murumuru isolate ASMU tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; plastid"
194,194,169726,42,46,5,803,855,0.974446987,"Aiphanes aculeata chloroplast partial rps16 gene for ribosomal protein S16, exon 2"
207,207,169745,42,43,5,810,859,0.9809675935,"Chamaedorea oblongata rps16 gene, intron; chloroplast"
213,213,169722,42,42,12,439,517,0.8915446256,"Drymophloeus litigiosus voucher K:Barrow et al 125 MADS box transcription factor (AG1) gene, partial cds"
190,190,169726,41,47,5,318,409,0.8891952349,"Bactris gasipaes tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast"
214,214,169745,41,42,4,876,968,0.9681965762,"Hyophorbe amaricaulis voucher CEL 98-064 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
224,224,169745,41,41,4,341,407,0.9017798286,"Gaussia gomez-pompae voucher A. Vovides 554 trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
172,172,4710,40,54,15,721,833,0.8941132008,"Astrocaryum scopatum atpH-atpI intergenic spacer, complete sequence; chloroplast"
173,173,169722,40,53,12,700,1676,0.933579502,"Ptychosperma waitianum voucher K:Gardiner 292 trnK gene, partial sequence; and matK pseudogene, complete sequence"
182,182,169745,40,50,5,470,860,0.5934651163,"Chamaedorea microspadix genomic DNA containing partial trnL gene, trnL-trnF IGS, specimen voucher BH 60-811 (BH)"
225,225,169745,40,41,5,297,398,0.8392572619,"Synechanthus fibrosus plastid tRNA-Leu gene, trnL-trnF IGS and tRNA-Phe gene (partial), specimen voucher A. Cuenca AC16, FTG"
229,229,169726,40,40,5,287,311,0.9660771704,"Aiphanes spicata 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence"
230,230,169745,40,40,4,255,306,0.8684640523,"Gaussia gomez-pompae voucher A. Vovides 554 trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
65,65,417012,39,153,17,462,1443,0.5123177476,"Rhapis subtilis ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
108,108,4711,39,87,1,665,826,0.8243577969,"Calamus aruensis partial rpb2 gene, intron 23, specimen voucher Dransfield 7571 (K)"
157,157,169699,39,63,8,896,942,0.9537963805,"Pseudophoenix vinifera voucher Baker 1002 (FTG) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
231,231,4710,39,40,17,634,683,0.9759516837,"Licuala grandis chloroplast DNA, psbB-psbF intergenic spacer region"
179,179,169726,38,51,5,811,1073,0.8976481553,"Astrocaryum urostachys isolate JCP363 phytochrome B (PHYB) gene, exon 1 and partial cds"
212,212,169722,38,42,12,398,893,0.8926838373,"Balaka burretiana RPB2 gene, intron 23"
165,165,4710,37,59,21,275,591,0.860391752,"Sabal bermudana partial rpoC1 gene for RNA polymerase C1, specimen voucher 1982-5602 (K)"
174,174,169699,37,51,8,784,1700,0.9694809689,"Ravenea julietiae voucher Baker 1014 (K) trnK gene, intron; and matK pseudogene, complete sequence; chloroplast"
209,209,169700,37,42,19,664,872,0.875382263,"Chuniophoenix hainanensis chloroplast atpB-rbcL intergenic spacer, specimen voucher Zona 791 (FTG)"
237,237,169698,37,38,21,813,896,0.9568550282,"Plectocomia mulleri chloroplast rps16 gene, partial, intron"
246,246,169726,37,37,5,254,265,0.9724630291,"Desmoncus mitis 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence"
113,113,115444,36,83,1,574,808,0.9793928188,"Attalea crassispatha voucher FTG:Noblick 5516 WRKY transcription factor 21 (WRKY21) gene, intron 1"
181,181,169699,36,50,8,353,406,0.8787684729,"Ceroxylon parvifrons voucher FB 645 (AAU) trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
107,107,115444,35,87,1,282,328,0.8891225119,"Attalea brejinhoensis voucher FTG:Noblick 4614 WRKY transcription factor 2 (WRKY2) gene, exons 1, 2 and partial cds"
148,148,417010,35,65,10,403,689,0.8668750698,"Coccothrinax argentea voucher S. Zona 1043 (FTG) phosphoribulokinase-like protein 2 (PRK) gene, exons 4, 5 and partial cds"
149,149,417010,35,65,10,408,1001,0.710458772,"Coccothrinax argentata partial rpb2 gene, intron 23, specimen voucher Cult. K (1973-12608)"
180,180,4710,35,51,20,338,526,0.9085961381,"Sabal bermudana partial rpoB gene for DNA-directed RNA polymerase subunit beta, specimen voucher 1982-5602 (K)"
206,206,115488,35,43,1,646,948,0.9436512609,"Licuala grandis voucher FTG Live Collection 6329D (DNA Bank 188) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
82,82,169704,34,106,3,457,1434,0.4730796558,"Arenga pinnata ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
110,110,115444,34,86,1,460,755,0.9824426305,"Attalea allenii isolate A60 WRKY6 gene, intron 1"
130,130,115444,34,73,1,433,503,0.9756256979,"Attalea microcarpa isolate A71 WRKY16 gene, intron 1"
248,248,169698,34,36,20,269,363,0.9463575145,"Salacca ramosiana trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence"
252,252,169698,34,35,20,859,1227,0.7555477937,"Daemonorops sp. TY-2016 voucher CPG SZFLB29 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
141,141,115444,33,71,1,265,385,0.8704225352,"Attalea crassispatha voucher FTG:Noblick 5516 WRKY transcription factor 19 (WRKY19) gene, intron 1 and partial cds"
171,171,169699,33,54,7,381,901,0.6047601431,"Phytelephas tenuicaulis voucher Perez 1158 (AAU) phosphoribulokinase (prk) gene, exons 4, 5 and partial cds"
185,185,169699,33,49,8,452,793,0.825951566,"Ceroxylon quindiuense RPB2 gene, intron 23, clone 1"
266,266,169700,33,34,12,634,683,0.9840668332,"Licuala grandis chloroplast DNA, psbB-psbF intergenic spacer region"
123,123,145670,32,79,1,415,707,0.9152955079,"Astrocaryum standleyanum phosphoribulokinase-like protein 2 gene, exons 4, 5 and partial cds"
183,183,77338,32,50,1,549,1607,0.7596764157,"Chamaedorea microspadix chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher BH 60-811 (BH)"
205,205,169699,32,43,8,253,303,0.8389745951,"Ceroxylon parvifrons voucher FB 645 (AAU) trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
243,243,115488,32,37,1,518,850,0.9517647059,"Licuala valida voucher Floribunda Live Collection tRNA-Asp (tnrD) gene, partial sequence; tRNA-Tyr (trnY) and tRNA-Glu (trnE) genes, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
251,251,115488,32,36,1,464,612,0.9360021786,"Licuala bacularia voucher FTG Live Collection 951383N (DNA Bank 1471) CISP5 gene, partial sequence"
89,89,232847,31,98,1,799,1622,0.939775787,"Pritchardia arecina chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Baker 1183 (K)"
97,97,232847,31,95,1,573,865,0.8643017949,"Pritchardia flynnii voucher National Tropical Garden Live Collection 070279 serine/threonine protein kinase (CISP4) gene, partial sequence"
102,102,232847,31,90,1,382,802,0.5284843447,"Pritchardia maideniana voucher FTG DNA Bank 846 tRNA-Asp (tnrD), tRNA-Tyr (trnY), and tRNA-Glu (trnE) genes and trnE-trnT intergenic spacer, complete sequence; chloroplast"
115,115,232847,31,83,1,780,956,0.9281267329,"Pritchardia viscosa voucher N. Tangalin 1692 (PTBG) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
117,117,115444,31,82,1,502,739,0.9811544935,"Attalea anisitsiana voucher FTG:Noblick 5291 WRKY transcription factor 7 (WRKY7) gene, exons 1 through 3 and partial cds"
121,121,232847,31,80,1,479,785,0.9145382166,"Pritchardia flynnii voucher National Tropical Garden Live Collection 070279 RNA polymerase II second largest subunit (RPB2) gene, partial cds"
127,127,169704,31,76,3,557,1631,0.5290264287,"Caryota mitis chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher 464-85.05037 (K)"
