Cluster.ID,Parent,TaxIDs,GIs,Genera,L.min,L.max,MAD,Defline.of.longest.sequence
5,376911,79,1894,18,251,1798,0.3002309265,"Microcebus rufus isolate TRA8.85 mitochondrion, complete genome"
42,9479,79,861,13,291,1285,0.5657099473,"Ateles geoffroyi azuerensis voucher ALM120 cytochrome b gene, partial cds; tRNA-Thr and tRNA-Pro genes, complete sequence; and D-loop, partial sequence; mitochondrial"
111,376915,72,237,16,955,957,0.9985494403,"Lemur catta mitochondrial ND1 gene for NADH dehydrogenase subunit 1, complete cds"
112,376915,72,237,16,1539,1557,0.9918132078,"Cheirogaleus medius mitochondrion, complete genome"
113,376915,72,236,16,814,1588,0.9898150322,"Cheirogaleus crossleyi isolate TRA8.81 mitochondrion, complete genome"
114,376915,72,236,16,1042,1050,0.9948950767,"Microcebus arnholdi isolate AMB5.41 mitochondrion, complete genome"
115,376915,72,236,16,678,681,0.9998320018,"Propithecus verreauxi coquereli mitochondrial DNA, complete genome"
116,376915,72,236,16,784,825,0.9506522856,Lemur catta mitochondrion complete mitochondrial genome
117,376915,72,236,16,1787,1815,0.9981486669,Eulemur mongoz complete mitochondrial genome
119,376915,72,234,16,492,540,0.9651392846,"Cheirogaleus medius isolate KIBO7.9 mitochondrion, complete genome"
120,9443,69,232,30,316,1096,0.9397141644,"Pan troglodytes vellerosus isolate 12 C-C chemokine receptor 2 transcript variant 2 gene, partial cds"
304,9443,64,120,30,933,1035,0.9231642512,"Callithrix geoffroyi isolate 27 melanocortin-1 receptor (MC1R) gene, complete cds"
9,376911,63,1473,10,251,1615,0.2862694654,"Microcebus murinus isolate 920FAG mitochondrion, complete genome"
10,376915,63,1473,10,251,1615,0.2862694654,"Microcebus murinus isolate 920FAG mitochondrion, complete genome"
434,9443,62,75,44,702,1281,0.869435337,"Miopithecus ogouensis interphotoreceptor retinoid binding protein (IRBP) gene, exon 1 and partial cds"
160,9443,61,183,32,252,1644,0.506395171,"Ateles geoffroyi TRIM5 alpha (TRIM5) mRNA, complete cds"
44,376911,59,847,18,294,415,0.9145588256,"Otolemur crassicaudatus isolate OCR-1 ADORA3 gene, partial sequence"
11,9443,56,1374,30,257,1541,0.5324044293,TSA: Callithrix jacchus SKMUSCLE_03728 mRNA sequence
193,9569,56,161,8,346,346,1,"Pygathrix nemaeus nemaeus NADH dehydrogenase subunit 3 (ND3) gene, partial cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) and NADH dehydrogenase subunit 4 (ND4) genes, complete cds; and tRNA-His gene, complete sequence; mitochondrial"
194,9569,56,161,8,297,297,1,"Pygathrix nemaeus nemaeus NADH dehydrogenase subunit 3 (ND3) gene, partial cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) and NADH dehydrogenase subunit 4 (ND4) genes, complete cds; and tRNA-His gene, complete sequence; mitochondrial"
195,9569,56,161,8,1373,1378,0.9999459113,"Pygathrix nemaeus nemaeus NADH dehydrogenase subunit 3 (ND3) gene, partial cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) and NADH dehydrogenase subunit 4 (ND4) genes, complete cds; and tRNA-His gene, complete sequence; mitochondrial"
15,376915,55,1110,14,397,605,0.9022902241,"Cheirogaleus medius isolate BEMA7.19 D-loop, partial sequence; mitochondrial"
88,9569,54,294,9,392,1153,0.7144774649,"Rhinopithecus roxellana mitochondrion, complete genome"
364,9443,54,103,35,250,1729,0.3981256352,"Cebus albifrons epsilon-globin gene, complete cds, gamma1-globin gene, complete cds, gamma2-globin gene, complete cds, and eta-globin pseudogene"
168,314293,50,178,19,350,1592,0.6931356219,"Lophocebus aterrimus TSPY gene, partial sequence"
366,314293,47,102,23,267,1513,0.3244495419,"Callicebus moloch beta-2-microglobulin precursor (B2m) gene, complete cds"
45,376915,46,829,10,294,412,0.9205382552,"Cheirogaleus medius isolate CMD-1 ADORA3 gene, partial sequence"
74,9569,46,362,8,283,1227,0.5896923278,"Trachypithecus shortridgei mitochondrion, complete genome"
371,9569,46,100,8,1800,1812,0.9975551876,"Nasalis larvatus mitochondrion, complete genome"
575,376911,46,58,19,804,951,0.9641212517,"Cheirogaleus medius isolate CMD-1 AXIN1 gene, partial sequence"
703,376911,46,48,18,545,741,0.8587775529,"Microcebus arnholdi AF4/FMR2 family member 2 gene, partial cds"
27,376911,45,979,13,276,931,0.7289777047,"Cheirogaleus crossleyi isolate AMB5.22 von Willebrand factor (vWF) gene, partial cds"
505,376911,45,63,19,392,612,0.9046840959,"Euoticus elegantulus voucher AMNH_269911 ATP-binding cassette sub-family A (ABCA1) gene, intron"
536,376911,45,61,19,600,716,0.9450041213,"Lepilemur dorsalis isolate LDO-1 LUC7L gene, partial sequence"
447,9533,44,72,1,520,952,0.9902836134,"Cercopithecus mitis heymansi voucher RMCA:86.025-M-0005 mitochondrion, partial genome"
448,9533,44,72,1,910,1562,0.9850974534,"Cercopithecus pogonias nigripes voucher NHMUK:ZD.1965.3908A mitochondrion, partial genome"
215,376911,43,144,16,535,689,0.9167573778,"Hapalemur griseus isolate HGR-1 CFTR gene, partial sequence"
33,376911,41,904,11,553,738,0.832532916,"Cheirogaleus crossleyi isolate AMB5.22 alpha fibrinogen (FIBA) gene, partial cds"
34,376911,41,904,11,553,738,0.832532916,"Cheirogaleus crossleyi isolate AMB5.22 alpha fibrinogen (FIBA) gene, partial cds"
767,9443,41,44,36,318,1646,0.2851126698,"Macaca sylvanus mitochondrial cytochrome c somatic (CYCS) gene, complete cds; nuclear gene for mitochondrial product"
29,376915,40,974,9,276,931,0.7289880612,"Cheirogaleus crossleyi isolate AMB5.22 von Willebrand factor (vWF) gene, partial cds"
771,376911,40,43,19,550,627,0.9744445681,"Galago moholi isolate GMO-4 POLA1 gene, partial sequence"
36,376915,39,902,9,553,738,0.8323959404,"Cheirogaleus crossleyi isolate AMB5.22 alpha fibrinogen (FIBA) gene, partial cds"
615,376911,39,54,16,521,1528,0.6092447159,"Daubentonia madagascariensis voucher GEN010_RJS recombination activating protein 1 (Rag1) gene, partial cds"
790,376911,39,42,18,566,630,0.9772864701,"Lepilemur ankaranensis isolate LAN-1 DACH1 gene, partial sequence"
791,376911,39,42,18,390,540,0.9537037037,"Eulemur mongoz isolate EMO-1 ATXN7 gene, partial sequence"
814,376911,39,41,19,423,510,0.9523194644,"Galago matschiei voucher FMNH_148985 AFF2 gene, intron"
38,30615,38,892,5,259,1141,0.9445632224,"Cheirogaleus medius mitochondrion, complete genome"
171,376919,38,175,6,369,1140,0.9299649123,"Callicebus lugens isolate CRB 2205 cytochrome b (cytb) gene, complete cds; mitochondrial"
812,376911,38,41,19,486,662,0.9541301304,"Galago matschiei voucher FMNH_148985 NPAS3.2 gene, intron"
862,9443,38,39,37,1197,1249,0.9885857404,Cercopithecus solatus partial VWF gene for von Willebrand factor
16,30615,37,1101,5,384,1798,0.2741203012,"Microcebus rufus isolate TRA8.85 mitochondrion, complete genome"
49,30615,37,739,5,511,684,0.9803254754,"Microcebus murinus cytochrome c oxidase subunit II (COII) gene, mitochondrial gene encoding mitochondrial protein, complete cds"
598,9533,37,56,1,461,522,0.9914135194,"Cercopithecus diana voucher MfN<DEU>:5186 mitochondrion, partial genome"
627,9533,37,53,1,281,297,0.9982847341,"Cercopithecus diana voucher MfN<DEU>:5186 mitochondrion, partial genome"
865,376911,37,38,18,348,544,0.9713622291,"Otolemur crassicaudatus isolate OCR-1 DMRT1 gene, partial sequence"
51,9443,36,681,20,250,1613,0.2377989773,"Cebus apella MHC class II antigen (CEAP-DRB) pseudogene, CEAP-DRB*W3201 allele, partial sequence"
335,376913,36,113,20,287,1784,0.4896722092,african green monkey kpni family interspersed repeat; ls1
487,9443,36,66,25,302,1066,0.9271561772,"Pan troglodytes troglodytes isolate 80 C-X-C chemokine receptor 4 (CXCR4) gene, partial cds"
866,376915,36,38,10,575,741,0.880744371,"Microcebus arnholdi AF4/FMR2 family member 2 gene, partial cds"
895,376911,36,37,17,461,580,0.9666821994,"Arctocebus calabarensis isolate ACL-1 FOXP1 gene, partial sequence"
915,376911,36,36,18,431,542,0.991902419,"Daubentonia madagascariensis isolate DMD-5 NEGR1 gene, partial sequence"
789,376911,35,42,18,480,610,0.9356752537,"Daubentonia madagascariensis isolate DMD-5 DCTN2 gene, partial sequence"
813,376911,35,41,18,471,681,0.9037283765,"Varecia variegata variegata isolate VVA-2 APP gene, partial sequence"
864,376911,35,38,18,411,736,0.9659253432,"Galago matschiei voucher FMNH_148985 APC membrane recruitment protein 1 (FAM123B) gene, partial cds"
938,376911,35,35,18,483,662,0.9725938714,"Avahi laniger isolate ALN-1 MAPKAP1 gene, partial sequence"
80,30615,34,336,5,348,348,1,"Cheirogaleus medius isolate JP6 cytochrome oxidase subunit III (COIII) gene, partial cds; tRNA-Gly gene, complete sequence; NADH dehydrogenase subunit 3 (ND3) gene, complete cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) and NADH dehydrogenase subunit 4 (ND4) genes, complete cds; tRNA-His and tRNA-Ser genes, complete sequence; and tRNA-Leu gene, partial sequence; mitochondrial genes for mitochondrial products"
81,30615,34,336,5,1373,1378,0.9996025987,"Cheirogaleus medius isolate JP6 cytochrome oxidase subunit III (COIII) gene, partial cds; tRNA-Gly gene, complete sequence; NADH dehydrogenase subunit 3 (ND3) gene, complete cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) and NADH dehydrogenase subunit 4 (ND4) genes, complete cds; tRNA-His and tRNA-Ser genes, complete sequence; and tRNA-Leu gene, partial sequence; mitochondrial genes for mitochondrial products"
82,30615,34,335,5,297,297,1,"Cheirogaleus medius isolate JP6 cytochrome oxidase subunit III (COIII) gene, partial cds; tRNA-Gly gene, complete sequence; NADH dehydrogenase subunit 3 (ND3) gene, complete cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) and NADH dehydrogenase subunit 4 (ND4) genes, complete cds; tRNA-His and tRNA-Ser genes, complete sequence; and tRNA-Leu gene, partial sequence; mitochondrial genes for mitochondrial products"
210,376917,34,147,8,267,1140,0.8816565223,"Galago senegalensis mitochondrial DNA, complete genome"
260,376915,34,131,10,562,689,0.9211602167,"Hapalemur griseus isolate HGR-1 CFTR gene, partial sequence"
614,314294,34,55,14,452,1573,0.879523782,"Macaca hecki 1 IRBP (IRBP) gene, intron 3 and partial cds"
701,9443,34,49,25,1881,1887,0.997469258,"Pygathrix nemaeus nemaeus SAM domain and HD domain-containing protein (SAMHD1) mRNA, complete cds"
702,9526,34,49,15,395,421,0.970623879,"Pygathrix cinerea 1 RL-2012 SMC protein (SMCY7) gene, exon 8 and partial cds"
768,9443,34,44,27,373,783,0.8845059793,"Saimiri sciureus prion protein (PRNP) mRNA, complete cds"
825,376911,34,40,19,435,760,0.7618421053,"Daubentonia madagascariensis isolate DMD-5 RAG2 gene, partial sequence"
894,376911,34,37,19,533,740,0.9320306793,"Eulemur rufus isolate ERF-1 DENND5A gene, partial sequence"
912,376911,34,36,16,583,658,0.9690982776,"Galago moholi voucher ABSHER009f SIM1 gene, intron"
929,314293,34,36,23,451,1818,0.7362486249,"Ateles belzebuth interphotoreceptor retinoid-binding protein (IRBP) gene, intron 1, complete sequence"
227,9443,33,140,18,309,355,0.9931790744,"Avahi laniger clone E1-1 short-wave sensitive type 1 opsin (SWS) gene, exon 1 and partial cds"
411,9479,33,82,17,294,856,0.7203527468,Aotus lemurinus marker 306 genomic sequence
486,9479,33,66,17,483,946,0.7431930297,"Chiropotes satanas 1q31.3 non-coding marker, genomic sequence"
564,9479,33,60,16,357,631,0.7915213946,"Aotus lemurinus 3q22.2 non-coding marker, genomic sequence"
602,9479,33,56,17,494,869,0.74336265,"Aotus lemurinus Xq22.1 non-coding marker, genomic sequence"
670,314293,33,51,21,350,1036,0.6652661064,"Pan troglodytes troglodytes isolate 266 glucose-6-phosphate dehydrogenase (G6PD) gene, exons 3 through 5 and partial cds"
719,9479,33,47,17,377,859,0.6607633815,"Aotus lemurinus 6p22.3 non-coding marker, genomic sequence"
893,376911,33,37,18,562,729,0.9571794016,"Lepilemur ankaranensis isolate LAN-1 FBN1 gene, partial sequence"
913,376911,33,36,19,428,615,0.93166215,"Daubentonia madagascariensis isolate DMD-5 SGMS1 gene, partial sequence"
914,376911,33,36,17,262,341,0.9450146628,"Galagoides zanzibaricus voucher GZ-UD-002 prepronociceptin (PNOC) gene, partial cds"
70,30614,32,386,2,297,1140,0.5783678756,"Lepilemur ruficaudatus cytochrome b (cytb) gene, complete cds; mitochondrial gene for mitochondrial product"
251,30615,32,134,5,380,975,0.944087256,"Microcebus griseorufus isolate BEZ7.11 mitochondrion, complete genome"
267,314293,32,129,17,341,1784,0.5407107102,"Saimiri sciureus Duffy antigen/chemokine receptor (DARC) gene, complete cds"
390,314293,32,92,19,374,691,0.7619392185,"Homo sapiens ABO gene for transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, complete cds, allele: ABO*A1.02"
437,9569,32,74,8,394,1554,0.9181014992,"Presbytis melalophos mitochondrion, complete genome"
443,9443,32,73,22,714,1002,0.9931370136,"Cercopithecus lhoesti isolate PR00283Celh bitter taste receptor TAS2R38 (TAS2R38) gene, complete cds"
694,376915,32,49,10,392,611,0.9106182571,"Lepilemur ruficaudatus ATP-binding cassette sub-family A (ABC1) gene, partial sequence"
737,9479,32,46,17,420,656,0.7318730117,"Aotus lemurinus 10p12.33 non-coding marker, genomic sequence"
738,9479,32,46,17,621,1157,0.6594265529,"Alouatta caraya 2p22.3 non-coding marker, genomic sequence"
774,376915,32,43,10,635,716,0.9481616214,"Lepilemur dorsalis isolate LDO-1 LUC7L gene, partial sequence"
843,376915,32,39,10,869,951,0.9743320122,"Cheirogaleus medius isolate CMD-1 AXIN1 gene, partial sequence"
937,376911,32,35,18,429,567,0.9324263039,"Avahi laniger isolate ALN-1 ZIC3 gene, partial sequence"
978,376911,32,33,19,595,713,0.9542691997,"Arctocebus calabarensis isolate ACL-1 RPGRIP1 gene, partial sequence"
69,376915,31,387,6,503,605,0.9294125184,"Cheirogaleus medius isolate BEMA7.19 D-loop, partial sequence; mitochondrial"
76,30614,31,343,2,380,960,0.7947278912,"Megaladapis edwardsi mitochondrion, complete genome"
389,9479,31,93,15,348,1497,0.5324196781,"Brachyteles arachnoides isolate CPRJ2160 methyl CpG binding protein 2 transcript variant 2 (MECP2) mRNA, complete cds, alternatively spliced"
413,9569,31,81,8,386,957,0.9116322871,"Trachypithecus phayrei phayrei mitochondrion, partial genome"
585,9443,31,58,21,490,1101,0.8955495005,"Eulemur fulvus alpha(1,2)fucosyltransferase (FUTH) gene, complete cds"
601,9479,31,56,15,341,876,0.6744944553,"Aotus lemurinus 1p31.1 non-coding marker, genomic sequence"
720,9526,31,47,13,387,833,0.9358637072,"Hylobates moloch isolate J13 ubiquitously transcribed tetratricopeptide repeat protein (UTY) gene, intron 18 and partial cds"
788,376911,31,42,16,702,1275,0.8195331466,"Euoticus elegantulus interphotoreceptor retinoid binding protein (IRBP) gene, exon 1 and partial cds"
992,376911,31,32,17,447,639,0.9015062598,"Hapalemur occidentalis isolate HOC-1 KCNMA1 gene, partial sequence"
993,376911,31,32,18,570,612,0.9973447712,"Daubentonia madagascariensis isolate DMD-5 USH2A gene, partial sequence"
77,9452,30,340,1,380,955,0.7988512473,"Lepilemur otto isolate BIBO7.1 mitochondrion, complete genome"
87,378855,30,314,4,366,1285,0.4353416442,"Ateles geoffroyi azuerensis voucher ALM120 cytochrome b gene, partial cds; tRNA-Thr and tRNA-Pro genes, complete sequence; and D-loop, partial sequence; mitochondrial"
131,378855,30,211,4,307,1140,0.7043194479,Alouatta seniculus macconnelli mitochondrial cytb gene for cytochrome b
451,9569,30,71,8,1354,1580,0.9865484044,"Trachypithecus phayrei phayrei mitochondrion, partial genome"
474,9569,30,67,8,500,685,0.9905436322,Trachypithecus shortridgei nuclear copy of mitochondrial genome and flanking genomic sequence
491,9569,30,65,8,955,958,0.9973181307,"Rhinopithecus roxellana mitochondrion, complete genome"
492,9569,30,65,8,1042,1045,0.9975266838,Trachypithecus shortridgei nuclear copy of mitochondrial genome and flanking genomic sequence
493,9569,30,65,8,680,684,0.9960413855,"Trachypithecus phayrei phayrei mitochondrion, partial genome"
494,9569,30,65,8,784,784,1,"Trachypithecus obscurus mitochondrion, complete genome"
495,9569,30,65,8,521,528,0.9945221445,"Trachypithecus phayrei phayrei mitochondrion, partial genome"
842,376915,30,39,9,521,1528,0.589273728,"Lepilemur edwardsi voucher CO005 recombination activating protein 1 (Rag1) gene, partial cds"
979,376911,30,33,18,648,790,0.947832758,"Microcebus murinus isolate CMI-3 BCOR gene, partial sequence"
1009,9479,30,32,16,441,902,0.5550859202,Leontopithecus chrysomelas marker m003 genomic sequence
1021,9479,30,31,16,313,745,0.6069279065,Cacajao calvus marker 888 genomic sequence
1023,9479,30,31,16,476,896,0.9361319124,Callicebus nigrifrons marker m043_044 genomic sequence
1024,9479,30,31,16,505,856,0.804152849,Aotus lemurinus marker 399 genomic sequence
1025,9479,30,31,16,502,734,0.7303331282,Cacajao calvus marker 136 genomic sequence
1026,314293,30,31,19,593,690,0.9482935951,"Papio papio voucher Brookfield Zoo-95-25043 glucose-6-phosphate dehydrogenase (G6PD) gene, intron 5"
1048,9479,30,30,16,679,752,0.9871453901,Saimiri ustus marker mC21_01 genomic sequence
1049,9479,30,30,16,487,732,0.9501821494,Alouatta caraya marker m_201 genomic sequence
155,9577,29,187,3,985,1141,0.998514297,"Hylobates agilis mitochondrial DNA, complete genome"
689,9479,29,50,17,420,737,0.8417367707,"Ateles belzebuth 5p15.33 non-coding marker, genomic sequence"
806,9569,29,42,9,429,609,0.918797404,"Pygathrix bieti SRY gene, partial cds"
1022,9479,29,31,16,511,869,0.6695497234,Cacajao calvus marker 252 genomic sequence
1029,376911,29,30,17,670,768,0.958203125,"Propithecus tattersalli isolate PTA-1 LRPPRC_171 gene, partial sequence"
1050,9479,29,30,15,452,780,0.6303846154,Ateles belzebuth marker 066 genomic sequence
